year,month,gnip,precip,temp,vpd,pet,rad
1985,7,,10.27883881,3.90645155,1.805935507,0.527999985,5.633290195
1985,8,-4.86,5.396387119,5.469741974,2.41832262,1.113032222,7.736515999
1985,9,-3.67,5.014266701,6.373533478,3.345199947,2.147466621,12.56453331
1985,10,-1.84,5.48464529,8.727484016,4.706451702,3.283225832,16.58516167
1985,11,-4.79,4.042666502,10.54720009,5.524800034,3.99813343,19.03426666
1985,12,-3.23,6.820129108,12.2279998,5.462967682,4.080258083,17.91909645
1986,1,-2.7,6.618838634,11.35464508,6.078322411,4.65922575,21.72516174
1986,2,-2.35,8.007571297,11.00735737,6.262857265,4.008571434,17.66099968
1986,3,-2.23,3.334967709,12.0622578,6.0184515,3.326838684,15.08967739
1986,4,-3.81,9.897466354,8.687133522,3.124933414,1.597866621,8.769999847
1986,5,-4.86,6.836516285,6.888645134,2.653161297,0.775483871,5.937677479
1986,6,,10.78826698,4.241933346,1.79786665,0.484933341,4.854666653
1986,7,-6.74,11.5441291,4.316451626,1.621935453,0.497806466,4.522709656
1986,8,-4.52,5.065548306,5.035677471,2.639354744,1.211612887,7.977290344
1986,9,-4.06,9.346533508,6.202200012,2.589200058,1.786400013,10.5433334
1986,10,-3.54,11.41767773,7.038645248,3.501032295,2.736387157,14.73161285
1986,11,-2.98,5.070933189,9.372266502,5.61453331,4.423199921,21.63066673
1986,12,-4.58,9.218967819,10.19761303,5.204000092,4.300516014,20.77406471
1987,1,-2.53,12.39380646,10.39387093,4.740645142,3.546451616,16.30283905
1987,2,-3.28,7.196714172,11.38807171,7.150999794,4.31557127,18.37328575
1987,3,-5.01,7.676258087,9.321032372,4.644000072,2.714451694,12.91187096
1987,4,-5.01,4.791066647,9.64359993,4.232133217,1.900666714,9.846000214
1987,5,-7.66,10.3211615,7.122774162,2.709419289,0.830322599,6.062451553
1987,6,-4.57,6.517333221,5.49980011,2.013600006,0.469600005,4.308266659
1987,7,-5.4,5.848128986,4.42651619,2.2769032,0.670322571,6.141161156
1987,8,,6.812645016,5.333871078,2.381806479,1.245677447,8.074967766
1987,9,-2.62,10.89559982,6.872999954,3.61466671,2.250533333,12.01053318
1987,10,-2.62,6.383484001,7.947612991,4.513677597,3.22503233,16.68812881
1987,11,-3.25,8.874533386,9.974800034,5.363599949,3.961466751,18.4938665
1987,12,-3.61,4.192387209,10.74393551,6.506451511,4.794451427,21.85341904
1988,1,0.28,2.901935444,14.19296791,8.571354675,5.142322464,20.5341938
1988,2,,4.108689585,11.80165508,5.777655201,4.109930878,19.76206924
1988,3,-3.82,2.364903221,12.11567753,7.124386978,3.726967659,16.21845161
1988,4,,2.908933325,10.16393318,4.771333408,2.14573329,10.50573299
1988,5,,6.959871101,9.014000092,3.181806374,0.870838699,5.344258213
1988,6,-5.49,7.898133545,6.900333366,2.458933372,0.497333348,5.151066666
1988,7,,11.23793556,5.912064438,2.402322626,0.622193563,5.422838783
1988,8,-2.83,10.47922562,5.651677361,2.363225737,1.162193542,8.097677498
1988,9,-1.21,9.307199821,7.581999931,3.600666714,2.162933264,11.35080032
1988,10,-0.05,18.57587097,6.714580727,2.914064512,2.40941926,13.576516
1988,11,-3,4.687466612,10.49546646,6.404266701,4.419200115,20.19546623
